,equipmentId,year_fit,year_og,year_diff,n,s_fit,pf_fit,ambient_bias_fit,heatRunTest_deltaTopOil_fit,heatRunTest_deltaHotspot_fit,heatRunTest_x_fit,heatRunTest_y_fit,heatRunTest_h_fit,heatRunTest_copperLosses_fit,heatRunTest_noLoadLosses_fit,nominalLoad_fit,MAE_fit,RMSE_fit,Bias_fit,R2_fit,s_og,pf_og,ambient_bias_og,heatRunTest_deltaTopOil_og,heatRunTest_deltaHotspot_og,heatRunTest_x_og,heatRunTest_y_og,heatRunTest_h_og,heatRunTest_copperLosses_og,heatRunTest_noLoadLosses_og,nominalLoad_og,MAE_og,RMSE_og,Bias_og,R2_og,error,s_diff,pf_diff,ambient_bias_diff,heatRunTest_deltaTopOil_diff,heatRunTest_deltaHotspot_diff,heatRunTest_x_diff,heatRunTest_y_diff,heatRunTest_h_diff,heatRunTest_copperLosses_diff,heatRunTest_noLoadLosses_diff,nominalLoad_diff,MAE_diff,RMSE_diff,Bias_diff,R2_diff
0,24917,2024.0,1997.0,27.0,14664.0,0.0,1.0,1.7497169137509831,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.506277833538623,5.5665504985963485,0.17641865859756994,0.14472499878947398,0.0,1.0,0.0,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.737508713336393,5.781922544447535,-1.5732982551534136,0.07726283982702198,,0.0,0.0,1.7497169137509831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2312308797977698,-0.2153720458511863,1.7497169137509836,0.067462158962452
1,33291,2024.0,1998.0,26.0,14664.0,0.0,1.0,4.999999999999999,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,2.702906991890298,3.2950212046633816,-1.0003651335375532,0.6001479168324306,0.0,1.0,0.0,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,6.079759353714199,6.772061434641364,-6.000365133537553,-0.6889808051820201,,0.0,0.0,4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3768523618239015,-3.477040229977982,5.0,1.2891287220144507
2,5004597,2024.0,2001.0,23.0,14664.0,0.0,1.0,1.5974864983741297,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.55088594542076,3.8275264376163136,-0.27890703610735124,0.6091237125425322,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.870896387484958,4.253589330448526,-1.8763935344814813,0.5172591594532627,,0.0,0.0,1.5974864983741297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32001044206419804,-0.42606289283221255,1.59748649837413,0.09186455308926944
3,5004625,2024.0,2001.0,23.0,14664.0,0.0,1.0,1.699176473171677,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,2.7058111153512625,4.015051019013417,-0.22876593307471615,0.6086313849265369,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,3.081849102951487,4.448062809240475,-1.9279424062463928,0.5196633982197425,,0.0,0.0,1.699176473171677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37603798760022444,-0.4330117902270576,1.6991764731716765,0.0889679867067944
4,5017843,2024.0,2005.0,19.0,14664.0,0.0,1.0,4.999999999999976,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,1.7227745048583358,2.2219620329261254,-0.33052835340714015,0.8696502435811919,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.3513484069639485,5.765622152884834,-5.330528353407116,0.12233392464844728,,0.0,0.0,4.999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6285739021056127,-3.5436601199587088,4.999999999999976,0.7473163189327446
5,5017873,2024.0,2004.0,20.0,14664.0,0.0,1.0,4.999999999999924,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,2.173853162532355,2.7874753417326774,-0.6616505773714257,0.7010216069895587,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.711494203676934,6.2758684303035785,-5.661650577371349,-0.5155329928818477,,0.0,0.0,4.999999999999924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.537641041144579,-3.488393088570901,4.999999999999923,1.2165545998714065
6,5025312,2024.0,2007.0,17.0,14664.0,0.0,1.0,4.779242554356234,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,2.5185977687378234,3.060735074030227,-0.06385553098473865,0.7066529166034828,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,4.933581171232843,5.728841133143322,-4.843098085340972,-0.027694073281786302,,0.0,0.0,4.779242554356234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41498340249502,-2.668106059113095,4.779242554356233,0.7343469898852691
7,5026188,2024.0,2006.0,18.0,14664.0,0.0,1.0,4.999999999999999,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,2.7019371104056074,3.313675582623422,-1.0800987921551097,0.5365734087039967,0.0,1.0,0.0,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,6.175639064701247,6.8396954455900865,-6.080098792155109,-0.9743970927366776,,0.0,0.0,4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.47370195429564,-3.5260198629666646,4.999999999999999,1.5109705014406742
8,5027447,2024.0,2007.0,17.0,14664.0,0.0,1.0,4.999999999999999,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,8.228390049173319,10.14182650492378,-7.823652225987609,-0.7747340377381551,0.0,1.0,0.0,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,13.087093426811434,14.35594535778994,-12.82365222598761,-2.556022648200472,,0.0,0.0,4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.858703377638115,-4.214118852866161,5.000000000000001,1.781288610462317
9,5030256,2024.0,2007.0,17.0,14664.0,0.0,1.0,4.999999999999999,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,8.018565235872822,9.804700796058118,-7.324499510011532,-1.0785394954357486,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,12.441483987553202,13.941920699829632,-12.32449951001153,-3.202762101374492,,0.0,0.0,4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.422918751680379,-4.1372199037715145,4.999999999999997,2.1242226059387432
